,xLoc,yLoc,xVel,yVel,xVelAdj,yVelAdj,xAccel,yAccel,nextXSuccess,nextYSuccess,landingTypeSuccess,nextXFail,nextYFail,landingTypeFail,nextXVelSuccess,nextYVelSuccess,nextXVelFail,nextYVelFail,currentStateValueMap,landingTypeCurrent,successValueMap,failValueMap,QValue,timesVisited,learningRate
118,32,2,-4,-3,-5,-3,-1,0,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.031269874082883,0.0,1.0
119,32,2,-4,-3,-5,-2,-1,1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0539866610579114,0.0,1.0
120,32,2,-4,-3,-4,-4,0,-1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0840452837511308,0.0,1.0
121,32,2,-4,-3,-4,-3,0,0,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0521025485212676,0.0,1.0
122,32,2,-4,-3,-4,-2,0,1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0470849180837799,0.0,1.0
123,32,2,-4,-3,-3,-4,1,-1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0647532468260909,0.0,1.0
124,32,2,-4,-3,-3,-3,1,0,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0795655106275458,0.0,1.0
125,32,2,-4,-3,-3,-2,1,1,32,2,#,32,2,#,0,0,0,0,497,.,544,544,-0.0752457603263124,0.0,1.0
126,32,2,-4,-2,-5,-3,-1,-1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0131733396785602,0.0,1.0
127,32,2,-4,-2,-5,-2,-1,0,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0004352856085473,0.0,1.0
128,32,2,-4,-2,-5,-1,-1,1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0392935826205064,0.0,1.0
129,32,2,-4,-2,-4,-3,0,-1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0829347570874098,0.0,1.0
130,32,2,-4,-2,-4,-2,0,0,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0638137427941609,0.0,1.0
131,32,2,-4,-2,-4,-1,0,1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0288851156031217,0.0,1.0
132,32,2,-4,-2,-3,-3,1,-1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0962013510024726,0.0,1.0
133,32,2,-4,-2,-3,-2,1,0,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0747702419649043,0.0,1.0
134,32,2,-4,-2,-3,-1,1,1,32,2,#,32,2,#,0,0,0,0,498,.,544,544,-0.0373364169550015,0.0,1.0
135,32,2,-4,-1,-5,-2,-1,-1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0516585358713949,0.0,1.0
136,32,2,-4,-1,-5,-1,-1,0,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0039383055360147,0.0,1.0
137,32,2,-4,-1,-5,0,-1,1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0444846265991129,0.0,1.0
138,32,2,-4,-1,-4,-2,0,-1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0177793708305102,0.0,1.0
139,32,2,-4,-1,-4,-1,0,0,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0725709437717567,0.0,1.0
140,32,2,-4,-1,-4,0,0,1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0396787160615803,0.0,1.0
141,32,2,-4,-1,-3,-2,1,-1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0983285007997785,0.0,1.0
142,32,2,-4,-1,-3,-1,1,0,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.04292506294246,0.0,1.0
143,32,2,-4,-1,-3,0,1,1,32,2,#,32,2,#,0,0,0,0,499,.,544,544,-0.0350247841616542,0.0,1.0
144,32,2,-4,0,-5,-1,-1,-1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.013075964653382,0.0,1.0
145,32,2,-4,0,-5,0,-1,0,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0689055081060951,0.0,1.0
146,32,2,-4,0,-5,1,-1,1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0197547905127366,0.0,1.0
147,32,2,-4,0,-4,-1,0,-1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0757698278675457,0.0,1.0
148,32,2,-4,0,-4,0,0,0,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0903432052927034,0.0,1.0
149,32,2,-4,0,-4,1,0,1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0538647664005654,0.0,1.0
150,32,2,-4,0,-3,-1,1,-1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.035322551631085,0.0,1.0
151,32,2,-4,0,-3,0,1,0,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0630428228060724,0.0,1.0
152,32,2,-4,0,-3,1,1,1,32,2,#,32,2,#,0,0,0,0,500,.,544,544,-0.0486621535666534,0.0,1.0
153,32,2,-4,1,-5,0,-1,-1,32,2,#,32,2,#,0,0,0,0,501,.,544,544,-0.0330895610596292,0.0,1.0
